오므라이스
갈비탕
순대국
감자탕
삼계탕
덮밥
김치찌개
김밥
칼국수
쌀국수
라면
떡볶이
짬뽕
짜장면
돈가스
콩나물국밥
냉면
닭발
치킨
부대찌개
볶음밥
샐러드
샌드위치
파스타
스테이크
초밥
보쌈
피자
마라탕
마라샹궈
닭볶음탕
삼계탕
닭갈비
닭날개
라자냐
라볶이
리조또
김밥
햄버거
뇨끼
육전
회
물회
비빔밥
전골
삼겹살
소고기
육회
샤브샤브
돌솥밥
샤오룽바오
우육면
해물찜
스지
유부초밥
돼지국밥
타코
베이글
족발
갈비
불고기
수육
